team_name	region
Arsenal	London
Aston Villa	West Midlands
Blackburn Rovers	Northwest
Chelsea	London
Coventry City	West Midlands
Crystal Palace	London
Everton	Northwest
Ipswich Town	East of England
Leeds United	Yorkshire
Liverpool	Northwest
Manchester City	Northwest
Manchester United	Northwest
Middlesbrough	Yorkshire
Norwich City	East of England
Nottingham Forest	East Midlands
Oldham Athletic	Northwest
Queens Park Rangers	London
Sheffield United	Yorkshire
Sheffield Wednesday	Yorkshire
Southampton	South of England
Tottenham Hotspur	London
Wimbledon	London
Newcastle United	Northeast
Swindon Town	Southwest
West Ham United	London
Leicester City	East Midlands
Bolton Wanderers	Northwest
Derby County	East Mindlands
Sunderland	Northeast
Barnsley	Yorkshire
Charlton Athletic	London
Bradford City	Yorkshire
Watford	South of England
Fulham	London
Birmingham City	West Midlands
West Bromwich Albion	West Midlands
Portsmouth	South of England
Wolverhampton Wanderers	West Midlands
Wigan Athletic	Northwest
Reading	South of England
Hull City	Yorkshire
Stoke City	West Midlands
Burnley	Northwest
Blackpool	Northwest
Swansea City	Wales
Cardiff City	Wales
Bournemouth	South of England
Brighton & Hove Albion	South of England
Huddersfield Town	Yorkshire
